ts_ns,side,price_e8,qty_e8,agg_trade_id
1704585600129000000,-1,4395660000000,12900000,1973571399
1704585601616000000,1,4395670000000,3400000,1973571400
1704585601871000000,1,4395670000000,300000,1973571401
1704585602393000000,1,4395670000000,500000,1973571402
1704585603009000000,-1,4395660000000,300000,1973571403
1704585603010000000,1,4395670000000,10700000,1973571404
1704585603017000000,-1,4395660000000,600000,1973571405
1704585603028000000,1,4395670000000,250500000,1973571406
1704585603043000000,-1,4395660000000,50000000,1973571407
1704585603049000000,1,4395670000000,5000000,1973571408
1704585603091000000,-1,4395660000000,106900000,1973571409
1704585603091000000,-1,4395650000000,11600000,1973571410
1704585603091000000,-1,4395610000000,28500000,1973571411
1704585603091000000,-1,4395600000000,106800000,1973571412
1704585603091000000,-1,4395550000000,1300000,1973571413
1704585603091000000,-1,4395520000000,800000,1973571414
1704585603091000000,-1,4395500000000,1000000,1973571415
1704585603091000000,-1,4395470000000,1200000,1973571416
1704585603091000000,-1,4395460000000,1100000,1973571417
1704585603091000000,-1,4395450000000,1000000,1973571418
1704585603091000000,-1,4395440000000,800000,1973571419
1704585603091000000,-1,4395430000000,21700000,1973571420
1704585603091000000,-1,4395400000000,1000000,1973571421
1704585603091000000,-1,4395370000000,12600000,1973571422
1704585603091000000,-1,4395350000000,1300000,1973571423
1704585603091000000,-1,4395310000000,300000,1973571424
1704585603091000000,-1,4395300000000,1800000,1973571425
1704585603091000000,-1,4395270000000,3100000,1973571426
1704585603092000000,-1,4395260000000,10700000,1973571427
1704585603092000000,-1,4395250000000,1300000,1973571428
1704585603105000000,-1,4395240000000,7100000,1973571429
1704585603105000000,-1,4395210000000,300000,1973571430
1704585603105000000,-1,4395200000000,4300000,1973571431
1704585603109000000,1,4395270000000,25200000,1973571432
1704585603141000000,-1,4395200000000,2100000,1973571433
1704585603141000000,1,4395270000000,100400000,1973571434
1704585603144000000,-1,4395200000000,51000000,1973571435
1704585603144000000,-1,4395180000000,300000,1973571436
1704585603144000000,-1,4395160000000,2300000,1973571437
1704585603144000000,-1,4395150000000,16900000,1973571438
1704585603144000000,-1,4395140000000,23100000,1973571439
1704585603144000000,-1,4395110000000,2300000,1973571440
1704585603144000000,-1,4395100000000,13000000,1973571441
1704585603144000000,-1,4395090000000,300000,1973571442
1704585603144000000,-1,4395080000000,1100000,1973571443
1704585603144000000,-1,4395060000000,65900000,1973571444
1704585603145000000,-1,4395050000000,34500000,1973571445
1704585603145000000,-1,4395040000000,43000000,1973571446
1704585603145000000,-1,4395030000000,19600000,1973571447
1704585603145000000,-1,4395020000000,7700000,1973571448
1704585603158000000,1,4395270000000,4100000,1973571449
1704585603158000000,1,4395280000000,5300000,1973571450
1704585603268000000,1,4395030000000,13200000,1973571451
1704585603274000000,-1,4395020000000,700000,1973571452
1704585603274000000,1,4395030000000,25200000,1973571453
1704585603398000000,1,4395030000000,600000,1973571454
1704585603420000000,-1,4395020000000,300000,1973571455
1704585603425000000,1,4395030000000,1800000,1973571456
1704585603538000000,1,4395030000000,2900000,1973571457
1704585603577000000,-1,4395020000000,1800000,1973571458
1704585603616000000,1,4395030000000,37600000,1973571459
1704585603641000000,-1,4395020000000,2500000,1973571460
1704585603644000000,1,4395030000000,12500000,1973571461
1704585603756000000,1,4395030000000,122900000,1973571462
1704585603820000000,1,4395040000000,300000,1973571463
1704585603820000000,1,4395150000000,300000,1973571464
1704585604002000000,1,4395300000000,10300000,1973571465
1704585604180000000,1,4395300000000,15500000,1973571466
1704585604180000000,1,4395310000000,300000,1973571467
1704585604180000000,1,4395370000000,800000,1973571468
1704585604180000000,1,4395500000000,900000,1973571469
1704585604180000000,1,4395520000000,300000,1973571470
1704585604180000000,1,4395560000000,300000,1973571471
1704585604180000000,1,4395580000000,800000,1973571472
1704585604180000000,1,4395640000000,7200000,1973571473
1704585604180000000,1,4395650000000,91000000,1973571474
1704585604180000000,1,4395660000000,3200000,1973571475
1704585604180000000,1,4395670000000,2700000,1973571476
1704585604180000000,1,4395700000000,300000,1973571477
1704585604180000000,1,4395720000000,300000,1973571478
1704585604180000000,1,4395750000000,300000,1973571479
1704585604180000000,1,4395800000000,1100000,1973571480
1704585604180000000,1,4395820000000,3600000,1973571481
1704585604180000000,1,4395830000000,300000,1973571482
1704585604180000000,1,4395850000000,300000,1973571483
1704585604180000000,1,4395870000000,16300000,1973571484
1704585604180000000,1,4395880000000,11600000,1973571485
1704585604180000000,1,4395890000000,2000000,1973571486
1704585604180000000,1,4395900000000,2100000,1973571487
1704585604180000000,1,4395920000000,12800000,1973571488
1704585604180000000,1,4395930000000,800000,1973571489
1704585604180000000,1,4395940000000,7900000,1973571490
1704585604180000000,1,4395950000000,1600000,1973571491
1704585604180000000,1,4395970000000,11400000,1973571492
1704585604180000000,1,4395990000000,2300000,1973571493
1704585604180000000,1,4396000000000,1300000,1973571494
1704585604180000000,1,4396040000000,300000,1973571495
1704585604180000000,1,4396050000000,1300000,1973571496
1704585604180000000,1,4396060000000,4600000,1973571497
1704585604180000000,1,4396100000000,1300000,1973571498
1704585604180000000,1,4396120000000,13900000,1973571499
1704585604180000000,1,4396130000000,4500000,1973571500
1704585604180000000,1,4396150000000,25000000,1973571501
1704585604180000000,1,4396160000000,30000000,1973571502
1704585604180000000,1,4396190000000,4500000,1973571503
1704585604180000000,1,4396200000000,22700000,1973571504
1704585604180000000,1,4396230000000,22800000,1973571505
1704585604180000000,1,4396240000000,322100000,1973571506
1704585604284000000,1,4396240000000,346000000,1973571507
1704585604335000000,-1,4396230000000,83300000,1973571508
1704585604344000000,-1,4396220000000,19200000,1973571509
1704585604373000000,1,4395960000000,10000000,1973571510
1704585604379000000,-1,4395950000000,39000000,1973571511
1704585604472000000,1,4395960000000,3600000,1973571512
1704585604608000000,1,4395960000000,800000,1973571513
1704585604613000000,-1,4395950000000,300000,1973571514
1704585604643000000,1,4395960000000,20000000,1973571515
1704585604649000000,-1,4395950000000,2700000,1973571516
1704585604792000000,1,4395960000000,300000,1973571517
1704585604836000000,-1,4395950000000,400000,1973571518
1704585604950000000,1,4395960000000,24500000,1973571519
1704585605199000000,-1,4395950000000,4000000,1973571520
1704585605303000000,1,4395960000000,700000,1973571521
1704585605386000000,-1,4395950000000,42400000,1973571522
1704585605518000000,1,4395960000000,48400000,1973571523
1704585605641000000,1,4395960000000,15800000,1973571524
1704585605748000000,1,4395960000000,900000,1973571525
1704585605856000000,1,4395960000000,600000,1973571526
1704585605865000000,-1,4395950000000,300000,1973571527
1704585605867000000,1,4395960000000,6200000,1973571528
1704585606093000000,-1,4395950000000,400000,1973571529
1704585606237000000,-1,4395950000000,7200000,1973571530
1704585606276000000,1,4395960000000,35600000,1973571531
1704585606314000000,-1,4395950000000,2200000,1973571532
1704585606321000000,1,4395960000000,11400000,1973571533
1704585606433000000,1,4395960000000,477300000,1973571534
1704585606433000000,1,4395970000000,300000,1973571535
1704585606433000000,1,4396050000000,101900000,1973571536
1704585606433000000,1,4396100000000,55000000,1973571537
1704585606433000000,1,4396130000000,207300000,1973571538
1704585606500000000,1,4396150000000,900000,1973571539
1704585606521000000,-1,4396140000000,18900000,1973571540
1704585606624000000,-1,4396140000000,1400000,1973571541
1704585606624000000,1,4396150000000,500000,1973571542
1704585606624000000,-1,4396140000000,46200000,1973571543
1704585606757000000,-1,4396140000000,7600000,1973571544
1704585606765000000,1,4396150000000,300000,1973571545
1704585606799000000,-1,4396140000000,175100000,1973571546
1704585606901000000,1,4396150000000,12500000,1973571547
1704585607002000000,1,4396160000000,300000,1973571548
1704585607002000000,1,4396220000000,157500000,1973571549
1704585607093000000,1,4396230000000,300000,1973571550
1704585607093000000,1,4396290000000,800000,1973571551
1704585607093000000,1,4396320000000,800000,1973571552
1704585607093000000,1,4396350000000,1000000,1973571553
1704585607093000000,1,4396380000000,300000,1973571554
1704585607093000000,1,4396400000000,1000000,1973571555
1704585607093000000,1,4396450000000,1000000,1973571556
1704585607093000000,1,4396500000000,1000000,1973571557
1704585607093000000,1,4396520000000,1000000,1973571558
1704585607093000000,1,4396550000000,1300000,1973571559
1704585607093000000,1,4396590000000,68800000,1973571560
1704585607093000000,1,4396600000000,1300000,1973571561
1704585607093000000,1,4396630000000,300000,1973571562
1704585607093000000,1,4396640000000,22100000,1973571563
1704585607102000000,1,4396650000000,217000000,1973571564
1704585607198000000,1,4396660000000,600000,1973571565
1704585607198000000,1,4396680000000,500000,1973571566
1704585607198000000,1,4396700000000,15000000,1973571567
1704585607198000000,1,4396740000000,1000000,1973571568
1704585607198000000,1,4396750000000,1000000,1973571569
1704585607198000000,1,4396770000000,6600000,1973571570
1704585607198000000,1,4396780000000,300000,1973571571
1704585607198000000,1,4396800000000,1000000,1973571572
1704585607198000000,1,4396840000000,46200000,1973571573
1704585607198000000,1,4396850000000,3200000,1973571574
1704585607198000000,1,4396860000000,3100000,1973571575
1704585607198000000,1,4396870000000,90900000,1973571576
1704585607198000000,1,4396880000000,5100000,1973571577
1704585607198000000,1,4396900000000,1000000,1973571578
1704585607198000000,1,4396940000000,1900000,1973571579
1704585607198000000,1,4396950000000,1000000,1973571580
1704585607198000000,1,4396960000000,11400000,1973571581
1704585607198000000,1,4396980000000,1600000,1973571582
1704585607198000000,1,4397000000000,1000000,1973571583
1704585607198000000,1,4397040000000,10700000,1973571584
1704585607198000000,1,4397050000000,1300000,1973571585
1704585607198000000,1,4397060000000,9100000,1973571586
1704585607198000000,1,4397090000000,300000,1973571587
1704585607198000000,1,4397100000000,1300000,1973571588
1704585607198000000,1,4397120000000,1100000,1973571589
1704585607198000000,1,4397140000000,26200000,1973571590
1704585607198000000,1,4397150000000,17700000,1973571591
1704585607198000000,1,4397200000000,1300000,1973571592
1704585607198000000,1,4397210000000,300000,1973571593
1704585607198000000,1,4397220000000,14100000,1973571594
1704585607238000000,1,4397260000000,28700000,1973571595
1704585607238000000,1,4397270000000,58500000,1973571596
1704585607300000000,-1,4397340000000,3000000,1973571597
1704585607338000000,1,4397350000000,1000000,1973571598
1704585607338000000,1,4397370000000,300000,1973571599
1704585607338000000,1,4397400000000,1000000,1973571600
1704585607338000000,1,4397450000000,1000000,1973571601
1704585607338000000,1,4397460000000,2000000,1973571602
1704585607338000000,1,4397500000000,1000000,1973571603
1704585607338000000,1,4397530000000,900000,1973571604
1704585607338000000,1,4397540000000,300000,1973571605
1704585607338000000,1,4397550000000,1000000,1973571606
1704585607338000000,1,4397570000000,300000,1973571607
1704585607338000000,1,4397600000000,1000000,1973571608
1704585607338000000,1,4397630000000,1000000,1973571609
1704585607338000000,1,4397650000000,15000000,1973571610
1704585607338000000,1,4397660000000,2400000,1973571611
